,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SCGB1A1 (7356),3.8836776484170668,4.280461043553035,0.5587475022290831,7.6608146371597945,1.8475735990499327e-14,3.111661347801617e-13
KLK5 (25818),18.6858518228651,4.085803756824088,0.38201073476469855,10.695520792997502,1.068178743640476e-26,1.1225846476498976e-24
LGALS4 (3960),24.48448313397064,3.8916709089190977,0.3870990327818103,10.05342452279557,8.872927563211475e-24,6.789943209051732e-22
GRP (2922),3.2261364940074166,3.5987274494226944,0.8299007650927825,4.33633465685546,1.448783144648387e-05,5.157772694723842e-05
KRT5 (3852),144.87782137193216,3.517110006480004,0.3191686165676963,11.019598494058133,3.0742726502256335e-28,3.8159711856816446e-26
REG1A (5967),1.8678085766589567,3.4591367310419288,0.6536763948935929,5.2918183340627065,1.2110616222737771e-07,6.353136576879809e-07
HEPACAM2 (253012),2.6520828508153858,3.3605055647658086,0.5626452059466531,5.972690301540458,2.3337266944463376e-09,1.637243774421543e-08
KRT13 (3860),33.81955817941383,3.3525603318971924,0.3749565982096998,8.941195722130553,3.8498183922658223e-19,1.4415329485909364e-17
SCGN (10590),1.9693920737866555,3.1757526990746996,0.5808155822055204,5.467747072169573,4.557916329252451e-08,2.5725382389665463e-07
ASCL1 (429),7.687036459855366,3.156793682418802,0.6859039704044165,4.602384325837218,4.17681548625509e-06,1.6519742466367307e-05
PRSS1 (5644),2.935849414989718,3.1253933815523025,0.46753814745878475,6.68478796551637,2.3125923370959134e-11,2.2671458707698992e-10
SPINK1 (6690),10.808734814696477,3.1045029865872147,0.3192514461294898,9.724319260649533,2.374885518776227e-22,1.4567196621785388e-20
KRT4 (3851),11.107796149314412,3.074282348474366,0.35800614924723484,8.58723336160157,8.908856657477166e-18,2.6750326923518107e-16
MUCL1 (118430),4.1113542465070445,3.0350241427319675,0.5753638368230581,5.274965071649662,1.327813748131301e-07,6.917268977376678e-07
NEUROD1 (4760),1.20514034611189,3.026247974228919,0.8964651305323497,3.375756480825792,0.0007361304353359869,0.0018513656960173095
GABRP (2568),1.931977816137032,2.9704251217871462,0.4404263677776512,6.744430713300895,1.5362817863570824e-11,1.5614407530711184e-10
KLK6 (5653),37.6390068954849,2.947613244185691,0.2825956235952813,10.43049855721442,1.7994165453715998e-25,1.5935956416425786e-23
KRT6A (3853),71.00448519594751,2.9438133217493276,0.36327082057793747,8.10363275824338,5.334196016201753e-16,1.1927413616936799e-14
HCAR2 (338442),3.2775966578816376,2.934896527308938,0.36508056031312436,8.039038081873544,9.054643971927644e-16,1.9406997801501947e-14
ALPP (250),10.222431770312832,2.828810581911831,0.310041782321556,9.123965682076891,7.2424505816612e-20,3.0773582471511358e-18
KRT20 (54474),7.978502824031214,2.8273348968405214,0.5429159186570865,5.207684651859153,1.9121152264176372e-07,9.642541404109928e-07
ADH1C (126),2.2267914771806465,2.8093896091067756,0.4795685841993099,5.8581602333216765,4.68022973860416e-09,3.110419123075716e-08
CA1 (759),1.017552665384569,2.783772627972857,0.9452900895318139,2.9448871397261898,0.0032307248581925525,0.007096160884011062
CAPNS2 (84290),1.4451426530080356,2.7099517111948384,0.4923257443475668,5.504387577346952,3.7045376610142925e-08,2.1212615941964876e-07
KLK7 (5650),4.113198221868265,2.6811006636027135,0.34159167835316434,7.8488465425401275,4.1988100478332035e-15,8.013322226881673e-14
PRSS2 (5645),6.749008148202678,2.678396475313528,0.43659790503567636,6.134698413394046,8.532089685132423e-10,6.472563127835781e-09
HBG1 (3047),0.88609903722317,2.663009376633265,1.2025215436908365,2.2145211373592772,0.026792950299972442,0.047676269164551935
KRT15 (3866),36.32825695164806,2.646923979625179,0.17621344974651232,15.021123435429296,5.339502216179844e-51,3.006139747709252e-48
FAM3B (54097),2.216282917849299,2.595849044489334,0.40486875113779797,6.4115816229191545,1.4401761665508334e-10,1.242634761330451e-09
PHGR1 (644844),5.5461151525936305,2.5958072962300034,0.5204919303776141,4.987219099336966,6.125458606069099e-07,2.816031772122289e-06
KRT16 (3868),14.32740981217176,2.590499619335264,0.26174736496421813,9.896946315732329,4.2917961713896653e-23,2.9036856156989995e-21
RGS13 (6003),2.3749237384545916,2.5719285475561637,0.6641103082853238,3.8727429998740175,0.00010761729034033307,0.000320938131843551
SERPINB13 (5275),2.392689172547011,2.567879270971039,0.509019505632274,5.04475612929876,4.541001698705639e-07,2.138761600788637e-06
KRT6B (3854),4.142447431131815,2.559944514082013,0.4359936440324548,5.871517966191852,4.3182278671510995e-09,2.87833167432431e-08
UGT1A10 (54575),6.701326848156265,2.550209829178095,0.4239622917393871,6.01518078109109,1.7968605858834671e-09,1.2892904085510685e-08
APOA1 (335),1.3201377815988307,2.506218063433309,0.6154465510710768,4.072194505065753,4.657226226961947e-05,0.0001492205574020897
KRTAP3-1 (83896),1.0503101519745897,2.443375660722835,0.4208963517772916,5.805171868098528,6.430001283831535e-09,4.1764540683279895e-08
VGLL1 (51442),12.44306244868021,2.4320001732550365,0.3494668138478638,6.95917345191403,3.4227489551915523e-12,3.952836229277628e-11
LGALS7 (3963),1.3859994330791907,2.4250319811803953,0.5574552011956169,4.350182715990887,1.3602414182637416e-05,4.866737566388929e-05
CEACAM5 (1048),16.003988437424226,2.420568631936724,0.3641828544217802,6.646574934945537,2.999917543527866e-11,2.8765632698402236e-10
DEFB4A (1673),1.2407600647424173,2.411905890159616,0.6992437659822135,3.449306246973344,0.0005620289005020186,0.0014495784665434915
MMP13 (4322),3.1583852797807146,2.3753305839825805,0.3784031225327265,6.277248898169829,3.4461618056620734e-10,2.806058610767403e-09
FABP1 (2168),10.612575527251494,2.372936960412655,0.7351309837172965,3.2279104172885695,0.0012469801830789376,0.002991537909915747
INSM1 (3642),5.589925010883479,2.360496143623901,0.5044925001548357,4.678951902950851,2.8834506574902585e-06,1.1775688374898528e-05
WFDC2 (10406),57.05226225639031,2.3588492046981906,0.24454834427785718,9.645737785155696,5.124138281080198e-22,2.9588924278376415e-20
VSIG2 (23584),1.9897748697794218,2.352726126172963,0.48634297610077654,4.837586316216167,1.3142531721910201e-06,5.683919617673318e-06
PPP1R14D (54866),1.4964501608004832,2.333614165510177,0.445411900406781,5.23922724870835,1.6125037588345462e-07,8.261133979287548e-07
CXCL17 (284340),1.0643660971670914,2.329973935814114,0.47262794854939033,4.9298268182517955,8.230254330938997e-07,3.6995075355837563e-06
LY6D (8581),14.240361324207214,2.305054557192665,0.38595478001086225,5.972343591981921,2.3386932545164815e-09,1.6399982412899384e-08
MS4A8 (83661),1.0862205939782879,2.300751680492472,0.583817232374562,3.940876618414664,8.118437825455267e-05,0.0002474459665129096
NKX2-1 (7080),3.142853427436852,2.28828242379725,0.3696831573580836,6.189847652650204,6.022239109088346e-10,4.713732736627045e-09
CYP2B6 (1555),0.8915439306785871,2.2813172741755405,0.5142638476298629,4.436083315383079,9.161040363573523e-06,3.385247076684787e-05
UPK2 (7379),4.522180227152037,2.278015934399,0.3165922833301384,7.195424697144352,6.22666443343921e-13,8.360914661732173e-12
KRT1 (3848),1.4709679208812403,2.2749625148536405,0.7652123644017214,2.9729819076202624,0.0029492183504608296,0.006531536678373773
ANXA10 (11199),5.82470895971884,2.2499603076002264,0.34777378445364177,6.469608717445308,9.825701548835838e-11,8.731249110250741e-10
ST18 (9705),1.9624774322540213,2.2439333747768146,0.5462022364450206,4.108246405912847,3.986746357534467e-05,0.00012976888205693443
GSDMC (56169),1.210047912565674,2.2200848470459,0.30107642863635015,7.3738248361096055,1.6580100592222512e-13,2.420080608664775e-12
VTCN1 (79679),3.2283614438179957,2.2172322136807483,0.3262824676568087,6.795437798432012,1.0798410044655407e-11,1.1325757547834187e-10
SPRR1B (6699),9.039997778237877,2.1840748966276826,0.41848376076380184,5.219019473160406,1.7987285274474742e-07,9.111554147391383e-07
CDX1 (1044),2.7605946329600735,2.183537885354753,0.7897152392064455,2.764968658258268,0.005692826523959318,0.011858049329240844
MUC4 (4585),5.3273904690855325,2.1723568691488255,0.3270163139027523,6.642961763047816,3.074416190685889e-11,2.9372785957559e-10
TRIM31 (11074),5.224058491099305,2.157281414504768,0.31188148185747255,6.916991036648432,4.613372646319103e-12,5.198370721699381e-11
PKP1 (5317),9.11162627599189,2.1548412556645347,0.35535136383537896,6.063973506128971,1.3279904008313302e-09,9.764198077754239e-09
CEACAM6 (4680),31.741330507498365,2.152070119814281,0.31898785402443985,6.746558192304701,1.5139336469647238e-11,1.539719355532381e-10
CLDN9 (9080),1.4589704313605802,2.1459171344376005,0.23244650973302233,9.231875053328634,2.6593515029225023e-20,1.2402963636707197e-18
TSPAN8 (7103),44.5205371258406,2.137363756903023,0.29664517879655317,7.205118807505992,5.799326205334005e-13,7.820408751145019e-12
PAH (5053),0.7351416801142623,2.129422117169899,0.5389238857038819,3.9512483555793536,7.774459250261405e-05,0.0002377988055613916
RHCG (51458),1.2630422176390577,2.1128183182491953,0.4022278796572725,5.252789339340352,1.4981285359516123e-07,7.71780988259517e-07
ELF5 (2001),0.7996171483290695,2.0857369161864314,0.48564410261925006,4.294784812452814,1.74862862989856e-05,6.128364099982415e-05
KLK12 (43849),0.6890026207953232,2.0709581199150513,0.6507917104460103,3.1822134281577608,0.0014615407237208561,0.0034526791501177244
CALML3 (810),3.5317812350517266,2.0667284979658396,0.5966776981583015,3.4637267394859563,0.0005327474000865046,0.0013808336098263165
KRT14 (3861),53.626204607649676,2.063989509418795,0.36504109841460064,5.654129133357443,1.5663841721551064e-08,9.508078586774393e-08
S100A9 (6280),106.42770586438546,2.0633659663234263,0.2790171067818952,7.395123510962138,1.4127689425088475e-13,2.0852892892986395e-12
KRT23 (25984),12.344829688626717,2.0541276468565153,0.3352246675523822,6.127614837698473,8.920621133904115e-10,6.747824930655685e-09
LCN2 (3934),237.1651940545097,2.0370433850382264,0.24427279938135882,8.339214968662938,7.478534952763131e-17,1.9014778225057743e-15
WNT6 (7475),0.8161577910147816,2.034924382729806,0.3163121056509316,6.4332801254703185,1.2487919362500077e-10,1.085223598844825e-09
