iter	Passed	Remaining
0	8262	8253921
1	16938	8452305
2	25380	8434902
3	39555	9849379
4	56566	11256651
5	72676	12040049
6	94844	13454302
7	117171	14529297
8	138211	15218652
9	152721	15119388
10	169770	15263925
11	194094	15980410
12	207652	15765624
13	219529	15461175
14	232287	15253527
15	245417	15093145
16	258526	14948938
17	272728	14878852
18	284635	14696154
19	298471	14625125
20	311424	14518305
21	329212	14635008
22	339287	14412358
23	350225	14242497
24	359556	14022700
25	368342	13798689
26	376783	13578145
27	384996	13364865
28	394437	13206846
29	403747	13054488
30	419085	13099796
31	432522	13083817
32	441896	12948895
33	450147	12789486
34	459435	12667289
35	469368	12568634
36	478671	12458409
37	486954	12327642
38	495350	12205948
39	503732	12089580
40	512181	11980047
41	521142	11887016
42	529852	11792305
43	538078	11690972
44	546874	11605890
45	555141	11513159
46	562960	11414917
47	571101	11326852
48	578898	11235360
49	586958	11152203
50	596677	11102886
51	605953	11047001
52	614073	10972216
53	622228	10900519
54	630568	10834305
55	638957	10770989
56	647898	10718735
57	656396	10660786
58	664599	10599803
59	672658	10538314
60	681179	10485691
61	689715	10434731
62	697586	10375213
63	705567	10318917
64	713842	10268343
65	721955	10216766
66	730358	10170520
67	738721	10124829
68	746657	10074469
69	754631	10025824
70	766252	10026036
71	778421	10032988
72	788443	10012155
73	797915	9984726
74	806499	9946822
75	815535	9915193
76	824181	9879479
77	832265	9837799
78	840460	9798278
79	848678	9759799
80	857978	9734350
81	866513	9700720
82	874426	9660828
83	882376	9622104
84	890401	9584906
85	898806	9552428
86	906871	9516943
87	914706	9479689
88	922401	9441657
89	930280	9406168
90	937894	9368642
91	945663	9333287
92	953636	9300520
93	961803	9270145
94	970241	9242823
95	978067	9210139
96	985449	9173823
97	992858	9138352
98	1000558	9106088
99	1009397	9084577
100	1018321	9064069
101	1026423	9036553
102	1034360	9007975
103	1042373	8980447
104	1050611	8955212
105	1058555	8927817
106	1066968	8904700
107	1075426	8882222
108	1084318	8863554
109	1092852	8842167
110	1101853	8824753
111	1110167	8802044
112	1118089	8776508
113	1126136	8752255
