Isolation Forest (PCA),Isolation Forest (Stats),Mahalanobis Distance,Combined (≥2 methods),row_index
False,False,False,False,ACH-001113
True,False,False,False,ACH-001289
False,False,False,False,ACH-001339
False,False,False,False,ACH-001979
False,False,False,False,ACH-002438
False,False,False,False,ACH-001538
False,False,False,False,ACH-000242
False,False,False,False,ACH-000708
True,False,False,False,ACH-000327
False,False,False,False,ACH-000233
False,False,False,False,ACH-000461
False,False,False,False,ACH-000705
False,False,False,False,ACH-001794
False,False,False,False,ACH-002023
False,False,False,False,ACH-000528
False,False,False,False,ACH-002501
False,False,False,False,ACH-001655
False,False,False,False,ACH-000167
False,False,False,False,ACH-000792
False,False,False,False,ACH-001098
False,False,False,False,ACH-000570
False,False,False,False,ACH-000351
False,False,False,False,ACH-002075
False,False,False,False,ACH-002040
False,False,False,False,ACH-000769
False,False,False,False,ACH-000154
False,False,False,False,ACH-000828
False,False,False,False,ACH-000421
False,False,False,False,ACH-000765
False,False,False,False,ACH-001375
False,False,False,False,ACH-000008
False,False,False,False,ACH-001814
False,False,False,False,ACH-000800
False,False,False,False,ACH-000606
False,False,False,False,ACH-000317
False,True,False,False,ACH-001492
False,False,False,False,ACH-000123
False,False,False,False,ACH-000723
False,False,False,False,ACH-002066
False,False,False,False,ACH-001536
False,False,False,False,ACH-003136
False,False,False,False,ACH-000313
False,False,False,False,ACH-002019
False,False,False,False,ACH-000728
False,False,False,False,ACH-000700
False,False,False,False,ACH-000823
False,False,False,False,ACH-000678
False,False,False,False,ACH-000006
False,False,False,False,ACH-002790
False,False,False,False,ACH-002029
False,False,False,False,ACH-001377
True,False,False,False,ACH-000754
False,False,False,False,ACH-000465
False,False,False,False,ACH-000138
False,False,False,False,ACH-001864
False,False,False,False,ACH-000383
False,False,False,False,ACH-001547
False,False,False,False,ACH-000917
False,False,False,False,ACH-002471
False,True,False,False,ACH-000984
False,False,False,False,ACH-002678
False,False,False,False,ACH-001409
False,True,False,False,ACH-001707
False,False,False,False,ACH-000117
False,False,False,False,ACH-000999
True,False,False,False,ACH-000633
False,False,False,False,ACH-000520
False,False,False,False,ACH-000176
False,False,False,False,ACH-000017
False,False,False,False,ACH-000020
False,False,False,False,ACH-001385
False,False,False,False,ACH-000587
False,False,False,False,ACH-000785
False,False,False,False,ACH-003469
False,False,False,False,ACH-000554
False,False,False,False,ACH-003180
False,False,False,False,ACH-001398
False,False,False,False,ACH-001991
False,False,False,False,ACH-001332
False,False,False,False,ACH-000585
False,False,False,False,ACH-000550
False,False,False,False,ACH-000627
False,False,False,False,ACH-000704
False,False,False,False,ACH-000276
False,False,False,False,ACH-000075
False,False,False,False,ACH-000818
False,False,False,False,ACH-003184
False,False,False,False,ACH-001616
False,False,False,False,ACH-000625
False,False,False,False,ACH-000941
False,False,False,False,ACH-000392
False,False,False,False,ACH-000269
False,False,False,False,ACH-001670
False,False,False,False,ACH-003133
False,False,False,False,ACH-000856
False,False,False,False,ACH-002687
True,True,False,True,ACH-001119
False,False,False,False,ACH-003132
False,False,False,False,ACH-000376
False,False,False,False,ACH-000685
False,False,False,False,ACH-000729
False,False,False,False,ACH-001034
False,False,False,False,ACH-001283
